FoodNumber	FoodName	FoodCategory	Base	FoodGroupCode	Dilution	Units	Description	Comment	EdiblePortion	WATER	TOTNIT	NCF	PROT	FAT	CHO	KCALS	KJ	ALCO	STAR	TOTSUG	AOAC	GLUC	FRUCT	MALT	LACT	SUCR	OSUG	FREESUG	SATFA	CMON	CN3	CN6	TRANS	CHOL	RET	TOTCAR	ACAR	BCAR	BCRYPT	VITA	VITD	THIA	RIBO	NIACEQU	VITC	VITE	VITB6	VITB12	FOLT	PANTO	BIOT	NA	K	CA	MG	P	FE	HFE	NHFE	CU	ZN	CL	I	MN	SE	Fruit	DriedFruit	FruitJuice	SmoothieFruit	Tomatoes	TomatoPuree	Brassicaceae	YellowRedGreen	Beans	Nuts	OtherVeg	Beef	Lamb	Pork	ProcessRedMeat	OtherRedMeat	Burgers	Sausages	Offal	Poultry	ProcessedPoultry	GameBirds	WhiteFish	OilyFish	CannedTuna	Shellfish	CottageCheese	CheddarCheese	OtherCheese
16	FLOUR WHITE SELF RAISING	F	100	1R	1	Grams	 	mw6 13-updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 35.  NK 24/1/07	1	11.3	1.6	5.7	8.9	1.5	79.6	347	1478	0	79	.6	4	0	0	.1	0	.5	0	0	.48	.25	0	.25	0	0	0	0	0	0	0	0	0	.28	.05	3.7	0	.6	.2	0	18	.4	2	342	190	280	25	463	1.7	0	1.7	.12	.8	108	0	.84	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	FLOUR RICE	F	100	1G	1	Grams	 	 	1	11.8	1.1	5.95	6.4	.8	88.1	363	1548	0	88.1	0	1.8	0	0	0	0	0	0	0	.18	.2	0	.28	0	0	0	0	0	0	0	0	0	.1	.05	3.5	0	.4	.2	0	29	.6	3	5	240	24	23	130	1.9	0	1.9	.2	1.3	0	14	4.01	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	RYE FLOUR (100%)	F	100	1R	1	Grams	 	mw6 7-updated 25/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 44.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF	1	10.7	1.2	5.83	7.3	1.6	64.5	285	1215	0	63	1.5	14.1	0	0	.2	0	1.2	0	0	.22	.17	.07	.6	0	0	0	0	0	0	0	0	0	.35	.12	2.7	0	.6	.3	0	60	.7	7	2	419	33	85	307	2.4	0	2.4	.33	2.3	52	0	2.24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	SOYA FLOUR	F	100	37I	1	Grams	 	Updated for NDNS rolling programme using flours and grains analytical data, sample 45.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF	1	5.9	6	5.7	34.3	22.4	11	380	1588	0	4.6	6.4	18	0	0	0	0	6.4	0	0	2.74	3.81	1.42	9.88	.02	0	0	0	0	0	0	0	0	.38	.26	11.1	0	4.3	.4	0	245	1.8	14	1	1867	182	245	668	8.4	0	8.4	1.31	4.1	81	0	2.43	7	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	FLOUR WHITE BREADMAKING	F	100	1R	1	Grams	 	mw6 11-updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 34.  NK 24/1/07	1	11.7	2	5.7	11.3	1.2	79.2	353	1504	0	78.7	.5	3.3	0	0	0	0	.4	0	0	.31	.17	.01	.34	0	0	0	0	0	0	0	0	0	.3	.05	3.8	0	.4	.2	0	16	.4	2	2	166	134	26	128	1.9	0	1.9	.15	.8	98	0	.67	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	FLOUR WHOLEMEAL (100%)	F	100	1R	1	Grams	 	mw6 14-updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 36.  NK 24/1/07	1	11.1	2	5.83	11.6	2	69.9	326	1389	0	68.5	1.4	10.1	0	0	.3	0	1	0	0	.29	.2	.06	.8	0	0	0	0	0	0	0	0	0	.36	.1	7.9	0	.7	.5	0	27	1	7	2	358	32	83	281	2.5	0	2.5	.37	1.9	108	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	OATMEAL RAW	F	100	1R	1	Grams	 	fs update, BA, 23/10/2017, fs udpates, BA, 26/10/2017	1	8.9	2.1	5.83	12.4	8.7	74	405	1717	0	72.8	1.2	7.8	0	0	0	0	0	1.2	0	1.52	3.16	.18	3.33	0	0	0	0	0	0	0	0	0	.5	.1	3.8	0	1.7	.1	0	60	1	20	33	370	55	110	380	4.1	0	4.1	.23	3.3	73	4	3.7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	DO NOT USE- OATS, ROLLED, PLAIN, DRY WEIGHT, NOT QUAKER, READY BREK/ INSTANT OATS	F	100	1R	1	Grams	 	02/08/04 updated breakfast cereal project 2004-BH	1	9.5	1.9	5.83	11	7.8	72.1	385	1629	0	64.8	7.3	7.8	0	0	0	0	.3	7	0	1.24	3	.08	2.99	.01	0	0	0	0	0	0	0	0	.86	.05	3.4	0	.7	.3	0	28	.4	20	2	368	48	115	392	3.6	0	3.6	.39	2.5	87	0	3.73	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	PASTA, CANELLONI, DRIED	F	100	1E	1	Grams	 	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	8.7	2	5.7	11.3	1.6	80.2	360	1534	0	73.5	6.7	3	.1	.2	6.1	0	.3	0	0	.23	.18	.04	.62	0	0	0	0	0	0	0	0	0	.17	.03	5.7	0	.3	.1	0	19	.8	1	2	232	24	47	179	1.6	0	1.6	.34	1.2	100	0	.77	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	PASTA LASAGNA DRIED	F	100	1E	1	Grams	 	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	8.7	2	5.7	11.3	1.6	80.2	360	1534	0	73.5	6.7	2.9	.1	.2	6.1	0	.3	0	0	.23	.18	.04	.62	0	0	0	0	0	0	0	0	0	.17	.03	5.7	0	.3	.1	0	19	.8	1	2	232	24	47	179	1.6	0	1.6	.34	1.2	100	0	.77	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	PASTA MACARONI BOILED	F	100	1E	1	Grams	 	13/08/04 updated pasta and pasta sauce project 2004 BH	1	58.3	.8	5.7	4.8	.4	32.9	146	623	0	32.3	.6	2.6	0	0	.6	0	0	0	0	.06	.05	.01	.14	0	0	0	0	0	0	0	0	0	0	.03	2.4	0	.1	0	0	5	.3	0	5	40	25	22	77	.7	0	.7	.19	.6	50	4	.37	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	PASTA MACARONI, RAW	F	100	1E	1	Grams	 	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	8.7	2	5.7	11.3	1.6	80.2	360	1534	0	73.5	6.7	2.6	.1	.2	6.1	0	.3	0	0	.23	.18	.04	.62	0	0	0	0	0	0	0	0	0	.17	.03	5.7	0	.3	.1	0	19	.8	1	2	232	24	47	179	1.6	0	1.6	.34	1.2	100	0	.77	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	PASTA NOODLES DRIED	F	100	1E	1	Grams	 	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	8.7	2	5.7	11.3	1.6	80.2	360	1534	0	73.5	6.7	4.1	.1	.2	6.1	0	.3	0	0	.23	.18	.04	.62	0	0	0	0	0	0	0	0	0	.17	.03	5.7	0	.3	.1	0	19	.8	1	2	232	24	47	179	1.6	0	1.6	.34	1.2	100	0	.77	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	PASTA NOODLES BOILED	F	100	1E	1	Grams	 	13/08/04 updated pasta and pasta sauce project 2004	1	58.3	.8	5.7	4.8	.4	32.9	146	623	0	32.3	.6	2.6	0	0	.6	0	0	0	0	.06	.05	.01	.14	0	0	0	0	0	0	0	0	0	0	.03	2.4	0	.1	0	0	5	.3	0	5	40	25	22	77	.7	0	.7	.19	.6	50	4	.37	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	PASTA NOODLES EGG DRIED	F	100	1E	1	Grams	 	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	8.2	2.1	5.7	12	2	72.6	338	1440	0	70.9	1.7	5.2	.2	.2	.7	0	.6	0	0	.31	.3	.04	.69	0	2	4	43	13	36	0	11	.15	.12	.02	5.8	0	.5	.1	0	19	.6	4	685	378	73	49	187	2.7	0	2.7	.2	1.3	974	6	1.1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	PASTA NOODLES EGG BOILED	F	100	1E	1	Grams	 	16/08/04 updated Pasta and pasta suace project 2004 BH	1	57	1	5.7	5.8	1	35.7	166	707	0	35.7	0	3	0	0	0	0	0	0	0	.15	.14	.02	.33	0	1	0	0	0	0	0	0	.12	0	0	2	0	.3	0	0	6	.3	1	141	75	43	25	89	1.1	0	1.1	0	.6	186	0	.53	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	PASTA SPAGHETTI DRIED WHITE	F	100	1E	1	Grams	 	13/08/04  Updated Pasta and Pasta Sauce Project 2004 NS-mw6 35.	1	8.7	2	5.7	11.3	1.6	80.2	360	1534	0	73.5	6.7	2.6	.1	.2	6.1	0	.3	0	0	.23	.18	.04	.62	0	0	0	0	0	0	0	0	0	.17	.03	5.7	0	.3	.1	0	19	.8	1	2	232	24	47	179	1.6	0	1.6	.34	1.2	100	0	.77	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	PASTA SPAGHETTI BOILED WHITE	F	100	1E	1	Grams	 	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS-mw6 36	1	64.9	.8	5.7	4.4	.6	31.5	141	601	0	30.5	1	1.7	0	.1	.9	0	0	0	0	.09	.07	.01	.23	0	0	0	0	0	0	0	0	0	.08	.01	1.7	0	.1	0	0	7	.2	1	3	41	27	21	66	.6	0	.6	0	.5	55	0	.33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	PASTA SPAGHETTI WHOLEMEAL DRY	F	100	1E	1	Grams	 	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS-mw6 37	1	9.5	2.2	5.83	12.6	2.5	68.3	329	1400	0	64.4	3.9	11.7	.4	.4	2.6	0	.5	0	0	.4	.3	.07	1.03	0	0	0	0	0	0	0	0	0	.33	.06	8.8	0	.6	.3	0	29	.8	4	3	426	39	103	333	3.3	0	3.3	.54	2.8	118	0	2.54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	PASTA SPAGHETTI WHOLEMEAL BOILED	F	100	1E	1	Grams	 	13/08/04  Updated Pasta and Pasta Sauce Project 2004 NS-mw6 38	1	63.7	.9	5.83	5.2	1.1	27.5	134	569	0	27.5	0	4.2	0	0	0	0	0	0	0	.18	.13	.03	.45	0	0	0	0	0	0	0	0	0	.11	.02	2.3	0	.3	0	0	8	.3	2	5	82	30	46	124	1.5	0	1.5	.26	1.2	65	0	1.14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	PASTA VERMICELLI, DRIED	F	100	1E	1	Grams	 	16/08/04 updated Pasta and pasta suace project 2004 BH	1	8.7	2	5.7	11.3	1.6	80.2	360	1534	0	73.5	6.7	2.6	.1	.2	6.1	0	.3	0	0	.23	.18	.04	.62	0	0	0	0	0	0	0	0	0	.17	.03	5.7	0	.3	.1	0	19	.8	1	2	232	24	47	179	1.6	0	1.6	.34	1.2	100	0	.77	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	PASTA MACARONI CANNED IN CHEESE SAUCE	F	100	1D	1	Grams	Updated macros from Tesco, Heinz, Branston varieties 22/06/10 EF. Code updated based on 5 products(Tesco, Heinz,Branston,Asda,Morrisons) 23/11/16 KT-	Code updated for NDNS rolling prog pilot study.  18/12/06 NK. Updated macros for DNSIYC DR 22/06/10 EF	1	79.6	.4	6.25	2.5	3.5	11.4	84	355	0	9.8	1.6	1.1	.1	.1	.2	.5	.8	0	.2	1.1	1.56	.08	.27	0	10	117	88	0	88	0	132	.41	0	.06	1.3	0	.6	.1	.6	6	.3	2	338	66	100	11	140	.3	0	.3	.04	.1	554	6	.1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6.4
39	PASTA RAVIOLI CANNED IN TOMATO SAUCE	F	100	1D	1	Grams	 	16/08/04 updated Pasta and pasta sauce project 2004 BH. Code updated for NDNS rolling prog pilot study.  21/12/06 NK.	1	78.4	.4	5.7	2.3	1.4	14.8	77	326	0	11.4	3.4	1.1	1	.9	.4	0	1.1	0	2.7	.46	.46	.02	.26	.02	1	0	78	0	78	0	13	0	.07	.06	1.4	0	.4	.1	0	3	.2	6	400	137	14	11	39	.8	0	.8	0	.3	610	0	.17	3	0	0	0	0	17.25	5.45	0	0	0	0	0	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	PASTA SPAGHETTI CANNED IN BOLOGNESE SAUCE	F	100	1D	1	Grams	 	Code updated for NDNS rolling prog pilot study.  21/12/06 NK.	1	79.1	.6	6.25	3.9	2	11.3	76	321	0	8	3.3	.8	.7	.9	.3	0	1.3	0	2.8	.63	.95	.01	.04	.09	3	0	290	0	290	0	48	0	.07	.03	1.5	0	.4	.1	0	8	.4	0	249	140	18	14	45	.7	0	.7	.03	.4	403	3	.16	2	0	0	0	0	15.25	16.5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	PASTA,SPAGHETTI, CANNED IN TOMATO SAUCE	F	100	1D	1	Grams	Updated from 14 products from 5 brands 16.06.11 RS	16/08/04 updated Pasta and pasta suace project 2004 BH. Updated for RP pilot study 19/12/06 NK. Protein, energy, fibres and NaCL updated for RP update 16.06.11 RS Updated using manufacturers information (5 brands, 11 products) 21/03/16 NZ	1	80.5	.4	5.7	1.7	.2	13	57	244	0	9	4	.9	.9	1	.3	0	1.8	0	3.9	.01	.04	.01	.11	0	0	0	88	0	88	0	15	0	.09	.01	1.2	0	.3	.1	0	4	.2	1	134	122	13	9	27	.6	0	.6	0	.2	206	0	.11	2	0	0	0	0	21.9	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	WHITE RICE BASMATI BOILED	F	100	1G	1	Grams	 	Updated for NDNS rolling programme using flours and grains analytical data sample 2.  NK 19/1/07	1	69.5	.5	5.95	2.8	.7	26.5	117	498	0	26.5	0	.6	0	0	0	0	0	0	0	.16	.14	.01	.26	0	0	0	0	0	0	0	0	0	.03	0	1.1	0	.1	0	0	5	.2	1	4	15	14	6	30	.1	0	.1	.1	.4	50	0	.2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	WHITE BASMATI RICE DRY	F	100	1G	1	Grams	 	Updated for NDNS rolling programme using flours and grains analytical data, sample 1.  NK 19/1/07	1	11.3	1.4	5.95	8.1	.5	83.7	351	1497	0	83.6	.1	1.1	0	0	0	0	.1	0	0	.14	.14	0	.15	0	0	0	0	0	0	0	0	0	.13	0	3.3	0	.1	.1	0	12	.4	1	1	77	10	21	101	1.7	0	1.7	.27	1.5	64	0	.74	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	RICE BASMATI FRIED IN BLEND OIL	R	100	1G	1	Grams	 	 	1	55.7	.4	6.32	2.5	18.1	23.2	260	1085	0	23.2	0	.5	0	0	0	0	0	0	0	2.19	9.46	1.15	4.31	0	0	0	0	0	0	0	0	0	.03	0	1	0	4	0	0	4	.2	1	4	13	12	5	26	.1	0	.1	.09	.4	44	2	.18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	RICE BASMATI FRIED IN DRIPPING	R	100	1G	1	Grams	 	 	1	55.9	.4	6.32	2.5	18	23.2	259	1079	0	23.2	0	.5	0	0	0	0	0	0	0	9.34	6.3	.11	.51	.77	17	0	0	0	0	0	0	0	.03	0	1	0	.1	0	0	4	.2	1	4	14	12	5	29	.1	0	.1	.1	.4	44	1	.18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	RICE BASMATI FRIED IN LARD	R	100	1G	1	Grams	 	 	1	55.9	.4	6.32	2.5	18	23.2	259	1079	0	23.2	0	.5	0	0	0	0	0	0	0	7.26	7.66	.1	1.79	0	16	0	0	0	0	0	0	0	.03	0	1	0	.3	0	0	4	.2	1	4	13	12	5	27	.1	0	.1	.09	.4	45	0	.18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	RICE BASMATI FRIED IN PUFA OIL	R	100	1G	1	Grams	 	 	1	55.7	.4	6.32	2.5	17.1	23.2	251	1047	0	23.2	0	.5	0	0	0	0	0	0	0	2.25	4.31	.49	9.88	0	0	0	0	0	0	0	0	0	.03	0	1	0	4.9	0	0	4	.2	1	4	13	12	5	26	.1	0	.1	.09	.4	44	0	.18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
