FoodNumber	FoodGroupCode	FoodName	FoodCategory	Base	Units	Description	Dilution	Comment	EdiblePortion	ACAR	ALCO	BCAR	BCRYPT	BIOT	CA	CHO	CHOL	CL	CMON	CN3	CN6	CU	ENGFIB	FAT	FE	FOLT	FRUCT	GLUC	HFE	I	K	KCALS	KJ	LACT	MALT	MG	MILK	MN	NA	NCF	NHFE	NIACEQU	NMILK	OSUG	P	PANTO	PROT	RET	RIBO	SATFA	SE	STAR	SUCR	THIA	TOTCAR	TOTNIT	TOTSUG	TRANS	VITA	VITB12	VITB6	VITC	VITD	VITE	WATER	ZN	Fruit	DriedFruit	FruitJuice	SmoothieFruit	Tomatoes	TomatoPuree	Brassicaceae	YellowRedGreen	Beans	Nuts	OtherVeg	Beef	Lamb	Pork	ProcessRedMeat	OtherRedMeat	Burgers	Sausages	Offal	Poultry	ProcessedPoultry	GameBirds	WhiteFish	OilyFish	CannedTuna	Shellfish	CottageCheese	CheddarCheese	OtherCheese
11	1R	CUSTARD POWDER	F	100	Grams	 	1	 	1	0	0	0	0	0	15	92	0	480	.2	.01	.33	.05	.1	.7	1.4	0	0	0	0	3	61	354	1508	0	0	7	0	0	320	6.25	1.4	.1	0	0	39	0	.6	0	0	.11	1	92	0	0	0	.1	0	0	0	0	0	0	0	0	12.5	.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1R	FLOUR BROWN (85%)	F	100	Grams	 	1	mw6 10  updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 39.  NK 24/1/07	1	0	0	0	0	4	28	72.5	0	82	.21	.05	.77	.32	6.9	2	2.4	44	0	0	0	0	295	339	1442	0	.1	72	1	2.33	2	5.7	2.4	6.3	0	0	256	.7	12.2	0	.1	.29	6	71.5	.9	.39	0	2.1	1	0	0	0	.4	0	0	.9	11.6	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1R	FLOUR CHAPATI BROWN	F	100	Grams	 	1	27/08/04 Updated with MW6 BH. Updated for NDNS rolling programme using flours and grains analytical data, sample 42.  NK 24/1/07	1	0	0	0	0	3	54	76.3	0	126	.18	.05	.75	.75	7.3	1.9	4.6	28	0	0	0	0	974	344	1466	0	.2	110	4.3	2.05	14	5.7	4.6	6.2	0	3.2	377	.6	10.3	0	.09	.29	32	71.9	.9	.35	0	1.8	4.3	0	0	0	.2	0	0	1.2	11.2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1R	FLOUR CHAPATI WHITE	F	100	Grams	 	1	27/08/04 Updated with MW6 BH.  Updated for NDNS rolling programme using flours and grains analytical data, sample 41.  NK 24/1/07	1	0	0	0	0	2	60	78.3	0	111	.17	.01	.41	.19	3.4	1.4	1.8	14	0	0	0	0	189	345	1469	0	0	28	.6	.71	2	5.7	1.8	3.9	0	0	130	.6	9.7	0	.05	.35	4	77.7	.5	.31	0	1.7	.6	0	0	0	.1	0	0	.4	11.8	.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1R	FLOUR WHITE HOUSEHOLD PLAIN	F	100	Grams	 	1	mw6 12  updated 26/04/05.  Updated for NDNS rolling programme using flours and grains analytical data, sample 33.  NK 24/1/07	1	0	0	0	0	2	96	80.9	0	143	.23	0	.23	.15	3.4	1.4	1.9	16	0	0	0	0	175	352	1501	0	.1	23	.6	.7	2	5.7	1.9	3.7	0	0	114	.4	9.1	0	.05	.44	3	80.3	.5	.28	0	1.6	.6	0	0	0	.2	0	0	.6	11.6	.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	1R	FLOUR WHITE SELF RAISING	F	100	Grams	 	1	mw6 13  updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 35.  NK 24/1/07	1	0	0	0	0	2	280	79.6	0	108	.25	0	.25	.12	3.4	1.5	1.7	18	0	0	0	0	190	347	1478	0	.1	25	.6	.84	342	5.7	1.7	3.7	0	0	463	.4	8.9	0	.05	.48	3	79	.5	.28	0	1.6	.6	0	0	0	.2	0	0	.6	11.3	.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1G	FLOUR RICE	F	100	Grams	 	1	 	1	0	0	0	0	3	24	88.1	0	0	.2	0	.28	.2	2	.8	1.9	29	0	0	0	14	240	363	1548	0	0	23	0	4.01	5	5.95	1.9	3.5	0	0	130	.6	6.4	0	.05	.18	13	88.1	0	.1	0	1.1	0	0	0	0	.2	0	0	.4	11.8	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1R	RYE FLOUR (100%)	F	100	Grams	 	1	mw6 7  updated 25/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 44.  NK 24/1/07	1	0	0	0	0	7	33	73.5	0	52	.17	.07	.6	.33	11.8	1.6	2.4	60	0	0	0	0	419	319	1358	0	.2	85	10.5	2.24	2	5.83	2.4	2.7	0	9	307	.7	7.3	0	.12	.22	2	63	1.2	.35	0	1.2	10.5	0	0	0	.3	0	0	.6	10.7	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	37I	SOYA FLOUR	F	100	Grams	 	1	Updated for NDNS rolling programme using flours and grains analytical data, sample 45.  NK 24/1/07	1	0	0	0	0	14	182	20.2	0	81	3.81	1.42	9.88	1.31	12.9	22.4	8.4	245	0	0	0	0	1867	415	1735	0	0	245	15.6	2.43	1	5.7	8.4	11.1	0	9.2	668	1.8	34.3	0	.26	2.74	7	4.6	6.4	.38	0	6	15.6	.02	0	0	.4	0	0	4.3	5.9	4.1	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	1R	FLOUR WHITE BREADMAKING	F	100	Grams	 	1	mw6 11  updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 34.  NK 24/1/07	1	0	0	0	0	2	134	79.2	0	98	.17	.01	.34	.15	3.1	1.2	1.9	16	0	0	0	0	166	353	1504	0	0	26	.5	.67	2	5.7	1.9	3.8	0	0	128	.4	11.3	0	.05	.31	9	78.7	.4	.3	0	2	.5	0	0	0	.2	0	0	.4	11.7	.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1R	FLOUR WHOLEMEAL (100%)	F	100	Grams	 	1	mw6 14  updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 36.  NK 24/1/07	1	0	0	0	0	7	32	69.9	0	108	.2	.06	.8	.37	8.8	2	2.5	27	0	0	0	0	358	326	1389	0	.3	83	1.4	2	2	5.83	2.5	7.9	0	0	281	1	11.6	0	.1	.29	5	68.5	1	.36	0	2	1.4	0	0	0	.5	0	0	.7	11.1	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1R	OATMEAL RAW	F	100	Grams	 	1	 	1	0	0	0	0	20	55	72.8	0	73	3.16	.18	3.33	.23	6.8	8.7	4.1	60	0	0	0	4	370	401	1698	0	0	110	0	3.7	33	5.83	4.1	3.8	0	0	380	1	12.4	0	.1	1.52	3	72.8	0	.5	0	2.1	0	0	0	0	.1	0	0	1.7	8.9	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1R	OATS, ROLLED, PLAIN, DRY WEIGHT, NOT QUAKER, READY BREK/ INSTANT OATS	F	100	Grams	 	1	02/08/04 updated breakfast cereal project 2004-BH	1	0	0	0	0	20	48	72.1	0	87	3	.08	2.99	.39	6.5	7.8	3.6	28	0	0	0	0	368	385	1629	0	0	115	7.3	3.73	2	5.83	3.6	3.4	0	7	392	.4	11	0	.05	1.24	3	64.8	.3	.86	0	1.9	7.3	.01	0	0	.3	0	0	.7	9.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1E	PASTA, CANELLONI, DRIED	F	100	Grams	 	1	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	0	0	0	0	1	24	80.2	0	100	.18	.04	.62	.34	3.7	1.6	1.6	19	.2	.1	0	0	232	360	1534	0	6.1	47	6.7	.77	2	5.7	1.6	5.7	0	0	179	.8	11.3	0	.03	.23	22	73.5	.3	.17	0	2	6.7	0	0	0	.1	0	0	.3	8.7	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1E	PASTA LASAGNA DRIED	F	100	Grams	 	1	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	0	0	0	0	1	24	80.2	0	100	.18	.04	.62	.34	3.7	1.6	1.6	19	.2	.1	0	0	232	360	1534	0	6.1	47	6.7	.77	2	5.7	1.6	5.7	0	0	179	.8	11.3	0	.03	.23	22	73.5	.3	.17	0	2	6.7	0	0	0	.1	0	0	.3	8.7	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	1E	PASTA MACARONI BOILED	F	100	Grams	 	1	13/08/04 updated pasta and pasta sauce project 2004 BH	1	0	0	0	0	0	25	32.9	0	50	.05	.01	.14	.19	2.7	.4	.7	5	0	0	0	4	40	146	623	0	.6	22	.6	.37	5	5.7	.7	2.4	0	0	77	.3	4.8	0	.03	.06	6	32.3	0	0	0	.8	.6	0	0	0	0	0	0	.1	58.3	.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	1E	PASTA MACARONI, RAW	F	100	Grams	 	1	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	0	0	0	0	1	24	80.2	0	100	.18	.04	.62	.34	3.7	1.6	1.6	19	.2	.1	0	0	232	360	1534	0	6.1	47	6.7	.77	2	5.7	1.6	5.7	0	0	179	.8	11.3	0	.03	.23	22	73.5	.3	.17	0	2	6.7	0	0	0	.1	0	0	.3	8.7	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	1E	PASTA NOODLES DRIED	F	100	Grams	 	1	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	0	0	0	0	1	24	80.2	0	100	.18	.04	.62	.34	3.7	1.6	1.6	19	.2	.1	0	0	232	360	1534	0	6.1	47	6.7	.77	2	5.7	1.6	5.7	0	0	179	.8	11.3	0	.03	.23	22	73.5	.3	.17	0	2	6.7	0	0	0	.1	0	0	.3	8.7	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1E	PASTA NOODLES BOILED	F	100	Grams	 	1	13/08/04 updated pasta and pasta sauce project 2004	1	0	0	0	0	0	25	32.9	0	50	.05	.01	.14	.19	2.7	.4	.7	5	0	0	0	4	40	146	623	0	.6	22	.6	.37	5	5.7	.7	2.4	0	0	77	.3	4.8	0	.03	.06	6	32.3	0	0	0	.8	.6	0	0	0	0	0	0	.1	58.3	.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1E	PASTA NOODLES EGG DRIED	F	100	Grams	 	1	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS	1	13	0	36	0	4	73	72.6	2	974	.3	.04	.69	.2	3.9	2	2.7	19	.2	.2	0	6	378	338	1440	0	.7	49	1.7	1.1	685	5.7	2.7	5.8	0	0	187	.6	12	4	.02	.31	16	70.9	.6	.12	43	2.1	1.7	0	11	0	.1	0	.15	.5	8.2	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	1E	PASTA NOODLES EGG BOILED	F	100	Grams	 	1	16/08/04 updated Pasta and pasta suace project 2004 BH	1	0	0	0	0	1	43	35.7	1	186	.14	.02	.33	0	2.2	1	1.1	6	0	0	0	0	75	166	707	0	0	25	0	.53	141	5.7	1.1	2	0	0	89	.3	5.8	0	0	.15	10	35.7	0	0	0	1	0	0	0	0	0	0	.12	.3	57	.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1E	PASTA SPAGHETTI DRIED WHITE	F	100	Grams	 	1	13/08/04  Updated Pasta and Pasta Sauce Project 2004 NS  mw6 35.	1	0	0	0	0	1	24	80.2	0	100	.18	.04	.62	.34	3.7	1.6	1.6	19	.2	.1	0	0	232	360	1534	0	6.1	47	6.7	.77	2	5.7	1.6	5.7	0	0	179	.8	11.3	0	.03	.23	22	73.5	.3	.17	0	2	6.7	0	0	0	.1	0	0	.3	8.7	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	1E	PASTA SPAGHETTI BOILED WHITE	F	100	Grams	 	1	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS  mw6 36	1	0	0	0	0	1	27	31.5	0	55	.07	.01	.23	0	1.5	.6	.6	7	.1	0	0	0	41	141	601	0	.9	21	1	.33	3	5.7	.6	1.7	0	0	66	.2	4.4	0	.01	.09	5	30.5	0	.08	0	.8	1	0	0	0	0	0	0	.1	64.9	.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	1E	PASTA SPAGHETTI WHOLEMEAL DRY	F	100	Grams	 	1	13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS  mw6 37	1	0	0	0	0	4	39	68.3	0	118	.3	.07	1.03	.54	8.1	2.5	3.3	29	.4	.4	0	0	426	329	1400	0	2.6	103	3.9	2.54	3	5.83	3.3	8.8	0	0	333	.8	12.6	0	.06	.4	15	64.4	.5	.33	0	2.2	3.9	0	0	0	.3	0	0	.6	9.5	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	1E	PASTA SPAGHETTI WHOLEMEAL BOILED	F	100	Grams	 	1	13/08/04  Updated Pasta and Pasta Sauce Project 2004 NS  mw6 38	1	0	0	0	0	2	30	27.5	0	65	.13	.03	.45	.26	4.4	1.1	1.5	8	0	0	0	0	82	134	569	0	0	46	0	1.14	5	5.83	1.5	2.3	0	0	124	.3	5.2	0	.02	.18	5	27.5	0	.11	0	.9	0	0	0	0	0	0	0	.3	63.7	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	1E	PASTA VERMICELLI, DRIED	F	100	Grams	 	1	16/08/04 updated Pasta and pasta suace project 2004 BH	1	0	0	0	0	1	24	80.2	0	100	.18	.04	.62	.34	3.7	1.6	1.6	19	.2	.1	0	0	232	360	1534	0	6.1	47	6.7	.77	2	5.7	1.6	5.7	0	0	179	.8	11.3	0	.03	.23	22	73.5	.3	.17	0	2	6.7	0	0	0	.1	0	0	.3	8.7	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	1D	PASTA MACARONI CANNED IN CHEESE SAUCE	F	100	Grams	 	1	Code updated for NDNS rolling prog pilot study.  18/12/06 NK.	1	0	0	74	0	2	100	13.4	8	570	2.23	.07	.22	.04	.4	6.5	.3	6	.1	.1	0	6	66	127	531	.5	.2	11	1.6	.1	370	6.25	.3	1.3	0	0	140	.3	4.5	110	.06	3.34	4	11.7	.8	0	74	.7	1.6	0	122	.6	.1	0	.34	.5	74.8	.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6.4
39	1D	PASTA RAVIOLI CANNED IN TOMATO SAUCE	F	100	Grams	 	1	16/08/04 updated Pasta and pasta sauce project 2004 BH. Code updated for NDNS rolling prog pilot study.  21/12/06 NK.	1	0	0	78	0	6	14	14.8	1	610	.46	.02	.26	0	1.6	1.4	.8	3	.9	1	0	0	137	77	326	0	.4	11	2.3	.17	400	5.7	.8	1.4	1.1	0	39	.2	2.3	0	.06	.46	3	11.4	1.1	.07	78	.4	3.4	.02	13	0	.1	0	0	.4	78.4	.3	0	0	0	0	17.25	5.45	0	0	0	0	0	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	1D	PASTA SPAGHETTI CANNED IN BOLOGNESE SAUCE	F	100	Grams	 	1	Code updated for NDNS rolling prog pilot study.  21/12/06 NK.	1	0	0	290	0	0	18	12.2	4	600	1.42	.01	.06	.03	.9	3	.7	8	.7	.5	0	3	140	86	362	0	.2	14	.7	.16	370	6.25	.7	1.5	1.8	0	45	.4	3.3	0	.03	1.25	2	9.7	1	.07	290	.5	2.5	.13	48	0	.1	0	0	.4	79.1	.4	0	0	0	0	15.25	16.5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	1D	PASTA,SPAGHETTI, CANNED IN TOMATO SAUCE	F	100	Grams	 	1	16/08/04 updated Pasta and pasta suace project 2004 BH. Code updated for NDNS rolling prog pilot study.  19/12/06 NK..	1	0	0	88	0	1	13	14.2	0	450	.04	.01	.11	0	1.3	.3	.6	4	1.1	1	0	0	122	64	273	0	.3	9	2.5	.11	290	5.7	.6	1.2	1.9	0	27	.2	2.1	0	.01	.05	2	9.8	1.9	.09	88	.4	4.4	0	15	0	.1	0	0	.3	80.5	.2	0	0	0	0	0	24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1G	WHITE RICE BASMATI BOILED	F	100	Grams	 	1	Updated for NDNS rolling programme using flours and grains analytical data sample 2.  NK 19/1/07	1	0	0	0	0	1	14	26.5	0	50	.14	.01	.26	.1	.6	.7	.1	5	0	0	0	0	15	117	498	0	0	6	0	.2	4	5.95	.1	1.1	0	0	30	.2	2.8	0	0	.16	5	26.5	0	.03	0	.5	0	0	0	0	0	0	0	.1	69.5	.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	1G	WHITE BASMATI RICE DRY	F	100	Grams	 	1	Updated for NDNS rolling programme using flours and grains analytical data, sample 1.  NK 19/1/07	1	0	0	0	0	1	10	83.7	0	64	.14	0	.15	.27	.9	.5	1.7	12	0	0	0	0	77	351	1497	0	0	21	.1	.74	1	5.95	1.7	3.3	0	0	101	.4	8.1	0	0	.14	16	83.6	.1	.13	0	1.4	.1	0	0	0	.1	0	0	.1	11.3	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	1G	RICE BASMATI FRIED IN BLEND OIL	R	100	Grams	 	1	 	1	0	0	0	0	1	12	23.2	0	44	9.46	1.15	4.31	.09	.5	18.1	.1	4	0	0	0	2	13	260	1085	0	0	5	0	.18	4	6.32	.1	1	0	0	26	.2	2.5	0	0	2.19	4	23.2	0	.03	0	.4	0	0	0	0	0	0	0	4	55.7	.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	1G	RICE BASMATI FRIED IN DRIPPING	R	100	Grams	 	1	 	1	0	0	0	0	1	12	23.2	17	44	6.3	.11	.51	.1	.5	18	.1	4	0	0	0	1	14	259	1079	0	0	5	0	.18	4	6.32	.1	1	0	0	29	.2	2.5	0	0	9.34	4	23.2	0	.03	0	.4	0	.77	0	0	0	0	0	.1	55.9	.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	1G	RICE BASMATI FRIED IN LARD	R	100	Grams	 	1	 	1	0	0	0	0	1	12	23.2	16	45	7.66	.1	1.79	.09	.5	18	.1	4	0	0	0	0	13	259	1079	0	0	5	0	.18	4	6.32	.1	1	0	0	27	.2	2.5	0	0	7.26	4	23.2	0	.03	0	.4	0	0	0	0	0	0	0	.3	55.9	.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	1G	RICE BASMATI FRIED IN PUFA OIL	R	100	Grams	 	1	 	1	0	0	0	0	1	12	23.2	0	44	4.31	.49	9.88	.09	.5	18.1	.1	4	0	0	0	0	13	260	1085	0	0	5	0	.18	4	6.32	.1	1	0	0	26	.2	2.5	0	0	2.6	4	23.2	0	.03	0	.4	0	0	0	0	0	0	0	4.9	55.7	.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	1G	RICE BROWN DRIED	F	100	Grams	 	1	19/08/04 Updated with MW6 BH. Updated for NDNS rolling programme using flours and grains analytical data, sample 13.  NK 23/1/07	1	0	0	0	0	4	11	83.2	0	56	.51	.01	.44	.22	1.8	1.5	1	22	0	0	0	0	243	356	1518	0	0	116	6.8	2.49	0	5.95	1	6.5	0	6.1	323	.7	7.7	0	.06	.28	10	76.3	.7	.3	0	1.3	6.8	0	0	0	.2	0	0	.4	11.9	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
