"Marine Scotland Site ID","Date Registered","Site Name","National Grid Reference","Local Authority","Producing in Last 3 Years","Site Address 1","Site Address 2","Site Address 3","Site Post Code","Site Contact Number","Aquaculture Type","Water Type","Health Surveillance","Easting","Northing","MS Management Area","Region","Operator","Species"
"FS1345","13-May-2020","Alladale Aquaponic Gardens","NH441895","Highland","No","Alladale Wilderness Reserve","Sutherland","Sutherland","IV24 3BS","","Fish","Freshwater and Seawater","Low","244100","889500","Not in a management area","Highland","Alladale Wilderness Lodge & Reserve","Rainbow Trout, N/A"
"SS0952","11-Feb-2021","Allanton Park Quarantine","NS209558","North Ayrshire","No","1 Allanton Park Terrace","Fairlie","North Ayrshire","KA29 0AW","","Shellfish","Seawater","High","220900","655800","Not in a management area","Strathclyde","Clyde Porpoise CIC","Flat or native oyster, N/A"
"SS0555","21-Jan-1998","Allt Briste","NC242340","Highland","Yes","Allt Briste","Kylesku","Sutherland","-","","Shellfish","Seawater","Low","224200","934000","9c - Badcall, Chairn Bhain, Eddrachillis","Highland","Loch Laxford Shellfish Ltd.","N/A, Common mussel"
"FS0106","01-Jan-1981","Allt Mhor","NR766560","Argyll and Bute","Yes","Allt Mhor Hatchery","Clachan","","PA29 6XL","","Fish","Freshwater","Medium","176600","656000","Not in a management area","Strathclyde","JS Salmon Ltd","Rainbow Trout, N/A"
"FS0148","01-Jan-1983","Amhuinnsuidhe Hatchery","NB057081","Western Isles","Yes","N/A","","","","","Fish","Freshwater","Medium","105700","908100","Not in a management area","Western Isles","Bakkafrost Scotland","Atlantic Salmon, N/A"
"FS1341","20-Jan-2020","An Camus","NF826174","Western Isles","Yes","Lochboisdale","South Uist","Western Isles","HS8 5TH","","Fish","Seawater","Medium","82600","817400","7b - South Uist","Western Isles","Mowi Scotland Ltd","Wrasse, Atlantic Salmon, Lumpsucker, N/A"
"SS0681","10-Mar-2003","An Druim","NC424572","Highland","No","70 Foindle","by Lairg","Sutherland","IV27 4SU","","Shellfish","Seawater","Medium","242400","957200","9a - Loch Eriboll","Highland","Loch Laxford Shellfish Ltd.","N/A, Common mussel"
"FS1336","06-Jan-2020","Applecross Hatchery","NG820404","Highland","Yes","Applecross","Kishorn","","IV54 8XF","","Fish","Freshwater","Medium","182000","840400","Not in a management area","Highland","Bakkafrost Scotland","N/A, Atlantic Salmon"
"FS1333","17-Sep-2019","Applecross Incubation Unit","NG820404","Highland","Yes","Applecross","Kishorn","","IV54 8XF","","Fish","Freshwater","Medium","182000","840400","Not in a management area","Highland","Bakkafrost Scotland","N/A, Atlantic Salmon"
"FS1360","19-Jun-2023","Applecross Smolt Ongrowing 1","NG821403","Highland","New","Applecross","Kishorn","","IV54 8XF","","Fish","Freshwater","Medium","182100","840300","","Highland","Bakkafrost Scotland","N/A, Atlantic Salmon"
"FS1361","19-Jun-2023","Applecross Smolt Ongrowing 2","NG821402","Highland","New","Applecross","Kishorn","","IV54 8XF","","Fish","Freshwater","Medium","182100","840200","","Highland","Bakkafrost Scotland","Atlantic Salmon, N/A"
"FS0500","27-Mar-1989","Applecross Smolt Unit","NG821405","Highland","Yes","Russel Burn","Kishorn","","IV54 8XF","","Fish","Freshwater","Medium","182100","840500","Not in a management area","Highland","Bakkafrost Scotland","N/A, Atlantic Salmon"
"FS1362","19-Jun-2023","Applecross Smolt Unit 2","NG821403","Highland","New","Applecross","Kishorn","","IV54 8XF","","Fish","Freshwater","Medium","182100","840300","","Highland","Bakkafrost Scotland","N/A, Atlantic Salmon"
"FS0615","14-Jun-1996","Arbhair","NB409242","Western Isles","No","N/A","","","","","Fish","Seawater","N/A","140900","924200","","Western Isles","Mowi Scotland Ltd","N/A, Atlantic Salmon, Wrasse"
"SS0960","09-May-2022","Ard Berinish","NB348210","Western Isles","New","N/A","","","","","Shellfish","Seawater","Medium","134800","921000","5a - E Lewis","Western Isles","Western Isles Mussels","Common mussel, N/A"
"SS0913","04-Oct-2017","Ard Mhor","NF709047","Western Isles","Yes","27a Eoligarry","","","HS9 5YD","","Shellfish","Seawater","High","70900","804700","7c - Barra","Western Isles","Traigh Mhor Oysters","N/A, Pacific Oyster, Flat or native oyster"
"FS0818","12-Aug-1993","Ardcastle","NR953922","Argyll and Bute","Yes","Crarae","Furnace","Argyll","PA32 8YA","","Fish","Seawater","Medium","195300","692200","19a - Fyne","Strathclyde","Bakkafrost Scotland","Lumpsucker, N/A, Wrasse, Atlantic Salmon"
"SS0729","18-Nov-2004","Ardentrive Bay","NM841299","Argyll and Bute","No","N/A","","","","","Shellfish","Seawater","","184100","729900","","Strathclyde","Kerrera Oysters","N/A, Pacific Oyster"
"FS0517","27-Nov-1987","Ardessie A","NH047904","Highland","Yes","Ardessie","Dundonnell, By Garve","Ross-shire","IV23 2QU","","Fish","Seawater","Low","204700","890400","10d - Little Loch Broom","Highland","Wester Ross Fisheries Ltd","Lumpsucker, Atlantic Salmon, Wrasse, N/A"
"FS0675","16-Sep-1991","Ardessie B","NH039906","Highland","Yes","Ardessie","Dundonnell, By Garve","Ross-shire","IV23 2QU","","Fish","Seawater","Low","203900","890600","10d - Little Loch Broom","Highland","Wester Ross Fisheries Ltd","N/A, Wrasse, Atlantic Salmon, Lumpsucker"
"SS0334","11-Oct-1989","Ardfad","NM768196","Argyll and Bute","No","N/A","","","","","Shellfish","Seawater","Medium","176800","719600","","Strathclyde","Ardencaple Oysters D.C.","Pacific Oyster, N/A"
"FS0851","01-May-1995","Ardgaddan","NR908810","Argyll and Bute","Yes","Stronachullin","Tarbert Road","ArdrIshaig, Argyll","PA30 8ET","","Fish","Seawater","Medium","190800","681000","19a - Fyne","Strathclyde","Bakkafrost Scotland","Lumpsucker, Atlantic Salmon, Wrasse, N/A"
"FS0158","01-Jan-1987","Ardhasaig I","NB127034","Western Isles","No","N/A","","","","","Fish","Seawater","","112700","903400","","Western Isles","Mowi Scotland Ltd","Atlantic Salmon, N/A"
"FS0412","01-Jan-1987","Ardhasaig II","NB117039","Western Isles","No","N/A","","","","","Fish","Seawater","","111700","903900","","Western Isles","Mowi Scotland Ltd","N/A, Atlantic Salmon"
"FS1062","06-May-2003","Ardifuir","NR784974","Argyll and Bute","No","c/o Kames Fish Farming Ltd","Kilmelford","By Oban, Argyll","PA34 4XA","","Fish","Seawater","Low","178400","697400","16d - Seil Sound to Loch Craignish","Strathclyde","Mowi Scotland Ltd","N/A, Rainbow Trout"
"FS0245","22-Oct-1985","Ardintoul","NG824244","Highland","Yes","Letterfearn","Glenshiel","Kyle, Ross-shire","IV40 8HT","","Fish","Seawater","High","182400","824400","14a - Carron, Kishorn, Alsh, Duich","Highland","Mowi Scotland Ltd","N/A, Wrasse, Atlantic Salmon, Lumpsucker"
"FS0464","01-Sep-1985","Ardmaddy","NM774136","Argyll and Bute","No","N/A","","","","","Fish","Seawater","Medium","177400","713600","16d - Seil Sound to Loch Craignish","Strathclyde","Mowi Scotland Ltd","Atlantic Salmon, Lumpsucker, Wrasse, N/A"
"FS0056","20-Apr-1979","Ardmair","NH103995","Highland","Yes","Ardmair","","","IV26 2TN","","Fish","Seawater","Low","210300","899500","10b - Loch Broom","Highland","Wester Ross Fisheries Ltd","Wrasse, Lumpsucker, N/A, Atlantic Salmon"
"FS0249","12-Sep-1979","Ardnish","NM755815","Highland","Yes","Lochailort","Inverness-shire","","PH38 4LZ","","Fish","Seawater","Low","175500","781500","15c - Ailort","Highland","Mowi Scotland Ltd","Lumpsucker, Atlantic Salmon, N/A, Wrasse"
"SS0366","26-May-1990","Ardshellach","NM781182","Argyll and Bute","Yes","The Ferry House","Easdale Island","Oban, Argyll","PA34 4TB","","Shellfish","Seawater","Low","178100","718200","16d - Seil Sound to Loch Craignish","Strathclyde","Seil Sound Shellfish","N/A, Pacific Oyster"
"FS0648","01-May-1991","Ardtaraig Hatchery","NS059826","Argyll and Bute","Yes","Loch Striven","Argyll","Argyll","PA23 8RG","","Fish","Freshwater","Medium","205900","682600","Not in a management area","Strathclyde","Cooke Aquaculture (Freshwater) Ltd","N/A, Atlantic Salmon"
"SS0876","06-Mar-2014","Ardveenish","NF721029","Western Isles","Yes","27a Eoligarry","","","HS9 5YD","","Shellfish","Seawater","Medium","72100","802900","7c - Barra","Western Isles","Traigh Mhor Oysters","N/A, Pacific Oyster"
"FS0415","01-Jan-1984","Ardvourlie","NB195105","Western Isles","No","N/A","","","","","Fish","Seawater","High","119500","910500","","Western Isles","Mowi Scotland Ltd","N/A, Atlantic Salmon"
"FS0559","16-Oct-1985","Ardyne","NS094693","Argyll and Bute","Yes","Toward","Argyll","Argyll","PA23 7UJ","","Fish","Seawater","Medium","209400","669300","19b - Kyles of Bute","Strathclyde","Bakkafrost Scotland","Atlantic Salmon, Wrasse, N/A, Lumpsucker"
"FS1008","22-Nov-2000","Attadale Broodstock Unit","NG943378","Highland","No","Attadale Estate","Strathcarron","Ross-shire","-","","Fish","Freshwater","Medium","194300","837800","Not in a management area","Highland","River Carron Restoration Project","Brown Trout and sea trout, N/A, Atlantic Salmon"
"FS0729","01-Nov-1991","Aultbea","NG868863","Highland","No","N/A","","","","","Fish","Seawater","","186800","886300","","Highland","Mowi Scotland Ltd","Atlantic Salmon, N/A"
"SS0660","25-Feb-2002","Ayre of Teogs","HU294814","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","Low","429400","1181400","4b - Ronas Voe","Shetland","Blueshell Mussels Ltd","N/A, Common mussel"
"FS0067","26-Aug-1991","Badcall Bay","NC153406","Highland","Yes","Badcall Salmon House","Scourie, Lairg","Sutherland","IV27 4TH","","Fish","Seawater","Low","215300","940600","9c - Badcall, Chairn Bhain, Eddrachillis","Highland","Loch Duart Ltd","Lumpsucker, Wrasse, N/A, Atlantic Salmon"
"FS0805","07-Jul-1999","Bagh Dail Nan Cean","NM774046","Argyll and Bute","Yes","Craobh Haven","Loch Melfort","","PA31 8UA","","Fish","Seawater","Medium","177400","704600","16d - Seil Sound to Loch Craignish","Strathclyde","Mowi Scotland Ltd","Wrasse, Atlantic Salmon, N/A, Lumpsucker"
"FS0717","16-Oct-1991","Balta Isle","HP657082","Shetland","Yes","Uyeasound","Unst","","ZE2 9DL","","Fish","Seawater","Medium","465700","1208200","1a - E Unst","Shetland","Cooke Aquaculture Scotland Ltd","N/A, Atlantic Salmon"
"SS0599","17-May-2000","Baltasound Harbour","HP645089","Shetland","Yes","Maundeville","Uyeasound, Unst","","ZE2 9DL","","Shellfish","Seawater","Low","464500","1208900","1a - E Unst","Shetland","Unst Shellfish","Common mussel, N/A"
"FS1102","06-Mar-2007","Baltasound Pier","HP634090","Shetland","No","N/A","","","","","Fish","Seawater","Medium","463400","1209000","","Shetland","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, N/A"
"SS0643","17-May-2001","Balvicar","NM773158","Argyll and Bute","No","N/A","","","","","Shellfish","Seawater","Low","177300","715800","16d - Seil Sound to Loch Craignish","Strathclyde","The Caledonian Oyster Company","N/A, Pacific Oyster"
"FS1325","19-Dec-2018","Barcaldine First Feeding Unit","NM962422","Argyll and Bute","Yes","Barcaldine Hatchery","Barcaldine","Oban Argyll","PA37 1SE","","Fish","Freshwater","Medium","196200","742200","Not in a management area","Strathclyde","Scottish Sea Farms Ltd","Atlantic Salmon, N/A"
"FS1321","08-Nov-2018","Barcaldine Hatchery Incubation 1","NM963422","Argyll and Bute","Yes","Barcaldine Hatchery","Barcaldine","Oban Argyll","PA37 1SE","","Fish","Freshwater","High","196300","742200","Not in a management area","Strathclyde","Scottish Sea Farms Ltd","Atlantic Salmon, N/A"
"FS1322","08-Nov-2018","Barcaldine Hatchery Incubation 2","NM963422","Argyll and Bute","Yes","Barcaldine Hatchery","Barcaldine","Oban Argyll","PA37 1SE","","Fish","Freshwater","High","196300","742200","Not in a management area","Strathclyde","Scottish Sea Farms Ltd","N/A, Atlantic Salmon"
"FS1323","08-Nov-2018","Barcaldine Hatchery Incubation 3","NM963422","Argyll and Bute","Yes","Barcaldine Hatchery","Barcaldine","Oban Argyll","PA37 1SE","","Fish","Freshwater","High","196300","742200","Not in a management area","Strathclyde","Scottish Sea Farms Ltd","N/A, Atlantic Salmon"
"FS1324","08-Nov-2018","Barcaldine Hatchery Incubation 4","NM963422","Argyll and Bute","Yes","Barcaldine Hatchery","Barcaldine","Oban Argyll","PA37 1SE","","Fish","Freshwater","High","196300","742200","Not in a management area","Strathclyde","Scottish Sea Farms Ltd","Atlantic Salmon, N/A"
"FS1326","19-Dec-2018","Barcaldine On-Growing Unit","NM962422","Argyll and Bute","Yes","Barcaldine Hatchery","Barcaldine","Oban Argyll","PA37 1SE","","Fish","Freshwater","Low","196200","742200","Not in a management area","Strathclyde","Scottish Sea Farms Ltd","Atlantic Salmon, N/A"
"FS1327","19-Dec-2018","Barcaldine Pre-smolt Unit","NM962422","Argyll and Bute","Yes","Barcaldine Hatchery","Barcaldine","Oban Argyll","PA37 1SE","","Fish","Freshwater","Low","196200","742200","Not in a management area","Strathclyde","Scottish Sea Farms Ltd","Atlantic Salmon, N/A"
"FS1328","19-Dec-2018","Barcaldine Smolt Unit","NM962422","Argyll and Bute","Yes","Barcaldine Hatchery","Barcaldine","Oban Argyll","PA37 1SE","","Fish","Freshwater","Medium","196200","742200","Not in a management area","Strathclyde","Scottish Sea Farms Ltd","Atlantic Salmon, N/A"
"SS0145","13-Dec-1985","Barraglom","NB168342","Western Isles","Yes","West Earshader","Bernera","","HS2 9LP","","Shellfish","Seawater","Medium","116800","934200","6a - Loch Roag","Western Isles","Loch Fyne Oysters Ltd","Common mussel, N/A"
"FS0076","25-May-1993","Barvas Hatchery","NB323487","Western Isles","Yes","Barvas","","","HS2 9DB","","Fish","Freshwater","Medium","132300","948700","Not in a management area","Western Isles","Bakkafrost Scotland","N/A, Atlantic Salmon"
"FS1279","25-Sep-2013","Bastaness","HU540936","Shetland","Yes","Yell Shorebase","Mid Yell","","ZE2 9BN","","Fish","Seawater","Low","454000","1193600","1b - S Unst, E Yell, Fetlar","Shetland","Cooke Aquaculture Scotland Ltd","N/A, Atlantic Salmon, Lumpsucker"
"FS0173","05-Jul-1993","Bastavoe North","HU521960","Shetland","No","N/A","","","","","Fish","Seawater","Low","452100","1196000","","Shetland","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, N/A"
"FS0074","01-Jan-1987","Bastavoe South","HU530947","Shetland","No","Uyeasound","Unst","","ZE2 9DL","","Fish","Seawater","Low","453000","1194700","1b - S Unst, E Yell, Fetlar","Shetland","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, N/A"
"SS0635","10-Apr-2001","Bastavoe, Yell","HU518973","Shetland","Yes","Bastavoe","Yell","Shetland","-","","Shellfish","Seawater","Low","451800","1197300","1b - S Unst, E Yell, Fetlar","Shetland","C&A Thomason Ltd","Common mussel, N/A"
"FS1080","08-Jun-2004","Bay of Cleat (North)","HY473475","Orkney","Yes","Unit 3 Quarry Road","Pierowall Westray","","KW17 2DH","","Fish","Seawater","Low","347300","1047500","8a - Westray","Orkney","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, N/A, Lumpsucker"
"FS0595","26-Jul-1989","Bay of Cleat (South)","HY470471","Orkney","Yes","N/A","","","","","Fish","Seawater","Low","347000","1047100","8a - Westray","Orkney","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, Lumpsucker, N/A"
"FS0122","29-Dec-1987","Bay of Ham","HY448319","Orkney","No","Rousay","","","KW17 2PR","","Fish","Seawater","Low","344800","1031900","8b - Central Orkney","Orkney","Cooke Aquaculture Scotland Ltd","N/A, Lumpsucker, Atlantic Salmon"
"FS1349","18-Jan-2021","Bay of Holland","HY640224","Orkney","Yes","Crowness Road","Hatston","Kirkwall, Orkney","KW15 1RG","","Fish","Seawater","Low","364000","1022400","8b - Central Orkney","Orkney","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, N/A"
"SS0185","09-Dec-1985","Bay of Skaill","HY456510","Orkney","Yes","Bay of Skaill","Westray","","KW17 2DN","","Shellfish","Seawater","Low","345600","1051000","8a - Westray","Orkney","Orkney Oysters","N/A, Pacific Oyster"
"FS1020","09-May-2001","Bay of Vady","HY465278","Orkney","Yes","Rousay","","","KW17 2PR","","Fish","Seawater","Low","346500","1027800","8b - Central Orkney","Orkney","Cooke Aquaculture Scotland Ltd","Lumpsucker, Atlantic Salmon, N/A"
"FS0956","05-May-1999","Becravic","NG114904","Western Isles","No","N/A","","","","","Fish","Seawater","","111400","890400","","Western Isles","Mowi Scotland Ltd","Atlantic Salmon, N/A"
"SS0967","15-Feb-2023","Bight of Bellister","HU484607","Shetland","New","c/o Blueshell Mussels Ltd","Sparl, Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","448400","1160700","2a - Vidlin Voe, Dury Voe, W Whalsay","Shetland","Blueshell Mussels Ltd","Common mussel, N/A"
"FS1121","20-Apr-2009","Bight of Bellister, Dury Voe","HU494608","Shetland","Yes","Dury","","","ZE2 9QD","","Fish","Seawater","Medium","449400","1160800","2a - Vidlin Voe, Dury Voe, W Whalsay","Shetland","Scottish Sea Farms Ltd","Lumpsucker, N/A, Atlantic Salmon, Wrasse"
"SS0968","15-Feb-2023","Bight of Breawick","HU341580","Shetland","New","c/o Blueshell Mussels Ltd","Sparl, Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","434100","1158000","4a - South St Magnus Bay","Shetland","Blueshell Mussels Ltd","Common mussel, N/A"
"FS0139","11-Nov-1991","Bight of Briewick","HU340580","Shetland","No","N/A","","","","","Fish","Seawater","","434000","1158000","","Shetland","Cooke Aquaculture Scotland Ltd","N/A, Atlantic Salmon"
"SS0600","17-May-2000","Bight of Cliffs","HU391646","Shetland","Yes","Lower Voe","","","ZE2 9PX","","Shellfish","Seawater","Medium","439100","1164600","4a - South St Magnus Bay","Shetland","Olnafirth Sea Farm Ltd","Common mussel, N/A"
"FS0292","16-Jan-1992","Bight of Foraness","HU457720","Shetland","Yes","Gremista","Lerwick","","ZE1 0PX","","Fish","Seawater","Medium","445700","1172000","2c - NE Shetland mainland","Shetland","Scottish Sea Farms Ltd","N/A, Lumpsucker, Atlantic Salmon"
"SS0855","10-Apr-2013","Bight of Warwick","HU342609","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","434200","1160900","4a - South St Magnus Bay","Shetland","Blueshell Mussels Ltd","N/A, Common mussel"
"FS0791","16-Sep-1992","Binnaness","HU377427","Shetland","No","c/o Blackness Pier","Scalloway","","ZE1 0TQ","","Fish","Seawater","Medium","437700","1142700","3a - SW Shetland mainland","Shetland","Scottish Sea Farms Ltd","Atlantic Salmon, Lumpsucker, N/A, Wrasse"
"FS0964","28-Jun-1999","Bloody Bay","NM492577","Argyll and Bute","Yes","Taigh Solaig","Tobermory","","PA75 6NR","","Fish","Seawater","Medium","149200","757700","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Scottish Sea Farms Ltd","Atlantic Salmon, N/A, Wrasse, Lumpsucker"
"SS0725","13-Oct-2004","Boat Geo","HU332631","Shetland","Yes","Boat Geo","Muckle Roe","Shetland","-","","Shellfish","Seawater","High","433200","1163100","4a - South St Magnus Bay","Shetland","Suthra Voe Shellfish","Common mussel, N/A"
"FS0609","01-Dec-1995","Boatsroom Voe","HU492710","Shetland","No","N/A","","","","","Fish","Seawater","","449200","1171000","","Shetland","Scottish Sea Farms Ltd","Atlantic Salmon, N/A"
"SS0622","23-Jan-2001","Booth","HU402379","Shetland","Yes","Sained","Eastvoe, Scalloway","","ZE1 0US","","Shellfish","Seawater","Medium","440200","1137900","3a - SW Shetland mainland","Shetland","Eastvoe Shellfish","N/A, Common mussel"
"FS0210","01-Oct-1988","Bothan Bay","NM760600","Highland","No","N/A","","","","","Fish","Seawater","","176000","760000","","Highland","Mowi Scotland Ltd","Atlantic Salmon, N/A"
"FS0477","01-Jan-1989","Bow of Hascosay","HU544923","Shetland","Yes","Yell Shorebase","Mid Yell","","ZE2 9BN","","Fish","Seawater","Low","454400","1192300","1b - S Unst, E Yell, Fetlar","Shetland","Cooke Aquaculture Scotland Ltd","Lumpsucker, Atlantic Salmon, N/A"
"FS0260","11-Dec-1985","Braevallich Farm","NM955080","Argyll and Bute","Yes","Braevallich Farm","By Dalmally","Argyll","PA33 1BU","","Fish","Freshwater","Low","195500","708000","Not in a management area","Strathclyde","Dawnfresh Farming Ltd","N/A, Rainbow Trout"
"SS0915","17-Oct-2017","Brakkatun Beach","HU344560","Shetland","Yes","Brakkatun","Aith Bixter","","ZE2 9ND","","Shellfish","Seawater","Low","434400","1156000","4a - South St Magnus Bay","Shetland","I.B.A Fishing Ltd","N/A, Common periwinkle"
"SS0868","23-Aug-2013","Brandy Ayre","HU244462","Shetland","Yes","Vadlure","Walls","","ZE2 9PF","","Shellfish","Seawater","Medium","424400","1146200","3b - Gruting, Vaila, Walls","Shetland","Shetland Mussels Ltd","N/A, Common mussel"
"FS0607","01-Jan-1989","Breigeo  (Offshore)","HU357465","Shetland","No","N/A","","","","","Fish","Seawater","Medium","435700","1146500","3a - SW Shetland mainland","Shetland","Scottish Sea Farms Ltd","Wrasse, Lumpsucker, Atlantic Salmon, N/A"
"FS0915","21-May-1998","Breigeo Inshore","HU357473","Shetland","No","N/A","","","","","Fish","Seawater","Medium","435700","1147300","3a - SW Shetland mainland","Shetland","Scottish Sea Farms Ltd","N/A, Lumpsucker, Atlantic Salmon, Wrasse"
"SS0838","23-Nov-2011","Brindister Inshore","HU285575","Shetland","Yes","Vadlure","Walls","","ZE2 9PF","","Shellfish","Seawater","High","428500","1157500","4a - South St Magnus Bay","Shetland","Shetland Mussels Ltd","Common mussel, N/A"
"FS1023","20-Sep-2001","Bring Head","HY273022","Orkney","Yes","Orkney Regional Office","Scapa","Orkney","KW15 1SD","","Fish","Seawater","Medium","327300","1002200","8c - Scapa Flow","Orkney","Scottish Sea Farms Ltd","Wrasse, Lumpsucker, N/A, Atlantic Salmon"
"FS0919","16-Oct-1998","Broch","NC550097","Highland","No","N/A","","","","","Fish","Freshwater","","255000","909700","","Highland","Scottish Sea Farms Ltd","Atlantic Salmon, N/A"
"SS0596","15-Mar-2000","Browland","HU264507","Shetland","Yes","Vadlure","Walls","","ZE2 9PF","","Shellfish","Seawater","Medium","426400","1150700","3b - Gruting, Vaila, Walls","Shetland","Shetland Mussels Ltd","Common mussel, N/A"
"FS0230","19-Mar-1992","Brunaness","HU384365","Shetland","No","N/A","","","","","Fish","Seawater","Medium","438400","1136500","3a - SW Shetland mainland","Shetland","Scottish Sea Farms Ltd","Atlantic Salmon, N/A, Lumpsucker, Wrasse"
"FS0970","08-Oct-1999","Buckieburn Freshwater Research Unit","NS751853","Stirling","No","N/A","","","","","Fish","Freshwater","Medium","275100","685300","Not in a management area","Central","University of Stirling","European Perch, Brown Trout and sea trout, Rainbow Trout, Atlantic Salmon, N/A"
"SS0747","12-Sep-2005","Buckle Point","NB200325","Western Isles","No","West Earshader","Bernera","","HS2 9LP","","Shellfish","Seawater","Medium","120000","932500","6a - Loch Roag","Western Isles","Loch Fyne Oysters Ltd","Common mussel, N/A"
"SS0781","18-May-2007","Budda Scord","HU341636","Shetland","Yes","Vementry","Aith, Bixter","","ZE2 9ND","","Shellfish","Seawater","Medium","434100","1163600","4a - South St Magnus Bay","Shetland","Vementry Aquaculture","N/A, Common mussel"
"SS0804","10-Dec-2008","Buness","HP632087","Shetland","Yes","Maundeville","Uyeasound, Unst","","ZE2 9DL","","Shellfish","Seawater","Low","463200","1208700","1a - E Unst","Shetland","Unst Shellfish","Common mussel, N/A"
"SS0882","16-Jul-2014","Bunyasand","HU523909","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","Low","452300","1190900","1b - S Unst, E Yell, Fetlar","Shetland","Seafield Mussels Ltd","Common mussel, N/A"
"SS0700","26-Sep-2003","Burra Holm","HU384456","Shetland","Yes","Sained","Eastvoe, Scalloway","","ZE1 0US","","Shellfish","Seawater","Medium","438400","1145600","3a - SW Shetland mainland","Shetland","Eastvoe Shellfish","Common mussel, N/A"
