"food_code","food_name","omega_3_epadha_g"
"16-133","Rock Salmon/Dogfish, raw",1.4
"16-301","Roe, cod, hard, coated in batter, fried",0
"16-299","Roe, cod, hard, raw",0.5
"16-302","Roe, herring, soft, raw",0.6
"16-132","Rohu, raw",0
"16-453","Salmon en croute, retail",0
"16-359","Salmon, farmed, flesh only, baked",2.13
"16-357","Salmon, farmed, flesh only, grilled",2.28
"16-484","Salmon, farmed, flesh only, grilled, weighed with bones and skin",0
"16-356","Salmon, farmed, flesh only, raw",2.21
"16-358","Salmon, farmed, flesh only, steamed",2.71
"16-483","Salmon, farmed, flesh only, steamed, fillets weighed with bones and skin",0
"16-420","Salmon, pink, canned in brine, drained",0.98
"16-418","Salmon, red, canned in brine, drained",1.25
"16-419","Salmon, red, canned in brine, skinless and boneless, drained",1.16
"16-412","Salmon, smoked (cold-smoked)",0.76
"16-413","Salmon, smoked (hot-smoked)",1.52
"16-485","Salmon, wild, baked",0
"16-360","Salmon, wild, flesh only, raw",1.64
"16-486","Salmon, wild, grilled",0
"16-487","Salmon, wild, steamed",0
"16-010","Salted fish, Chinese, bones removed, steamed",0
"16-424","Sardines, canned in brine, drained",2.02
"16-440","Sardines, canned in olive oil, drained",0
"16-439","Sardines, canned in sunflower oil, drained",0
"16-422","Sardines, canned in tomato sauce, whole contents",2.44
"16-438","Sardines, flesh only, grilled",0
"16-488","Sardines, flesh only, grilled, weighed with skin and bones",0
"16-401","Sardines, flesh only, raw",1.11
"16-262","Scallops, steamed",0.2
"16-409","Scampi, coated in breadcrumbs, baked",0.06
"16-443","Scampi, coated in breadcrumbs, fried in sunflower oil",0
"16-442","Scampi, in breadcrumbs, frozen, fried in rapeseed oil",0
"16-454","Seafood selection",0
"16-415","Seafood sticks",0.08
"16-367","Sesame prawn toast, takeaway",0.03
"16-142","Shark, raw",0.2
"16-245","Shrimps, boiled",0.7
"16-246","Shrimps, boiled, weighed with shells",0
"16-247","Shrimps, canned in brine, drained",0.3
"16-249","Shrimps, dried",0
"16-248","Shrimps, frozen",0
"16-144","Skate, grilled",0
"16-145","Skate, grilled, weighed with bones",0
"16-143","Skate, raw",0.1
"16-477","Sole, flesh only, grilled, fillets weighed with skin",0
"16-219","Sprats, fried",0
"16-220","Sprats, fried, weighed with bones",0
"16-218","Sprats, raw",1.3
"16-267","Squid, dried",0
"16-263","Squid, raw",0.4
"16-361","Sushi, salmon nigiri",0.82
"16-362","Sushi, tuna nigiri",0.07
"16-222","Swordfish, flesh only, grilled",0
"16-223","Swordfish, flesh only, grilled, weighed with bones and skin",0
"16-221","Swordfish, flesh only, raw",0.6
"16-335","Szechuan prawns with vegetables, takeaway",0
"16-449","Taramasalata",0.2
"16-154","Tilapia, raw",0
"16-224","Trout, brown, raw",0
"16-489","Trout, rainbow, baked, flesh only, fillets weighed with bones and skin",0
"16-396","Trout, rainbow, flesh only, baked",1.31
"16-395","Trout, rainbow, flesh only, raw",1.03
"16-416","Tuna, canned in brine, drained",0.29
"16-417","Tuna, canned in sunflower oil, drained",0.16
"16-400","Tuna, flesh only, baked",0.09
"16-399","Tuna, flesh only, raw",0.08
"16-156","Turbot, flesh only, grilled",0
"16-157","Turbot, flesh only, grilled, weighed with bones and skin",0
"16-155","Turbot, flesh only, raw",0
"16-268","Whelks, boiled",0.1
"16-269","Whelks, boiled, weighed with shells",0
"16-158","White fish, dried, salted",0
"16-231","Whitebait, in flour, fried",0
"16-159","Whiting, flesh only, raw",0.1
"16-160","Whiting, flesh only, steamed",0.1
"16-161","Whiting, flesh only, steamed, weighed with bones and skin",0
"16-162","Whiting, in crumbs, fried in blended oil",0
"16-163","Whiting, in crumbs, fried in blended oil, weighed with bones and skin",0
"16-164","Whiting, in crumbs, fried in dripping",0
"16-165","Whiting, in crumbs, fried in dripping, weighed with bones and skin",0
"16-166","Whiting, in crumbs, fried in sunflower oil",0
"16-167","Whiting, in crumbs, fried in sunflower oil, weighed with bones and skin",0
"16-270","Winkles, boiled",0.1
"16-271","Winkles, boiled, weighed with shells",0
